highest/JJS body/NN in/IN elected/VBN officials/NNS
a/DT kind/NN in/IN extraconstitutional/JJ limbo/NN
a/DT minority/NN in/IN the/DT body/NN
the/DT case/NN in/IN the/DT president/NN
be/VB incapable/JJ in/IN participating/VBG on/IN
american/JJ people/NNS in/IN the/DT importance/NN
statutory/JJ line/NN in/IN success/NN to/TO
the/DT role/NN in/IN the/DT speaker/NN
the/DT ability/NN in/IN some/DT officials/NNS
my/PRP$ colleagues/NNS in/IN the/DT committee/NN
the/DT purpose/NN in/IN this/DT rule/NN
reorganization/NN act/NN in/IN is/VBZ to/TO
very/RB critical/JJ in/IN special/JJ rules/NNS
day/NN layover/NN in/IN committeereported/JJ legislation/NN
day/NN layover/NN in/IN committeereported/JJ legislation/NN
day/NN layover/NN in/IN committeereported/JJ legislation/NN
houseapproved/JJ version/NN in/IN a/DT bill/NN
a/DT number/NN in/IN protections/NNS against/IN
a/DT a/DT in/IN house/NN rules/NNS
technical/JJ violation/NN in/IN one/CD or/CC
more/JJR sections/NNS in/IN rule/NN xxii/NNS
budget/NN act/NN in/IN
or/CC consideration/NN in/IN conference/NN reports/NNS
some/DT in/IN these/DT conference/NN
day/NN layover/NN in/IN conference/NN reports/NNS
added/VBD scores/NNS in/IN obscure/JJ provisions/NNS
to/TO dismissal/NN in/IN complaints/NNS and/CC
the/DT details/NNS in/IN its/PRP$ rules/NNS
the/DT members/NNS in/IN the/DT house/NN
a/DT result/NN in/IN the/DT ethics/NNS
s/VBZ investigation/NN in/IN bribery/NN allegations/NNS
drug/NN act/NN in/IN
first/JJ order/NN in/IN business/NN of/IN
the/DT leadership/NN in/IN this/DT house/NN
ethical/JJ standards/NNS in/IN the/DT united/VBN
a/DT majority/NN in/IN seats/NNS on/IN
the/DT courtesy/NN in/IN being/VBG able/JJ
possible/JJ indictment/NN in/IN a/DT member/NN
a/DT member/NN in/IN their/PRP$ leadership/NN
the/DT face/NN in/IN mounting/VBG public/JJ
the/DT good/JJ in/IN his/PRP$ party/NN
the/DT house/NN in/IN representatives/NNS
the/DT chairman/NN in/IN the/DT committee/NN
it/PRP one/CD in/IN the/DT strongest/JJS
strongest/JJS tides/NNS in/IN reform/NN ever/RB
the/DT voice/NN in/IN the/DT people/NNS
are/VBP hundreds/NNS in/IN pages/NNS on/IN
our/PRP$ oaths/NNS in/IN office/NN
bill/NN one/CD in/IN the/DT best/JJS
as/IN millions/NNS in/IN seniors/NNS face/VBP
tattered/JJ image/NN in/IN the/DT drug/NN
outrageous/JJ practice/NN in/IN voting/NN in/IN
in/IN voting/NN in/IN complex/JJ and/CC
represent/VBP percent/NN in/IN the/DT country/NN
also/RB vote/VB in/IN secret/JJ legislation/NN
full/JJ disclosure/NN in/IN the/DT contents/NNS
the/DT contents/NNS in/IN legislation/NN before/IN
deferred/VBD action/NN in/IN another/DT serious/JJ
any/DT investigation/NN in/IN the/DT abramoff/NN
outrageous/JJ looting/NN in/IN native/JJ americans/NNS
the/DT insistence/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN rules/NNS
ranking/JJ member/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN standards/NNS on/IN
handles/VBZ enforcements/NNS in/IN the/DT rules/NNS
both/DT because/IN in/IN the/DT changes/NNS
the/DT committee/NN in/IN standards/NNS in/IN
in/IN standards/NNS in/IN official/JJ conduct/NN
only/JJ hours/NNS in/IN consideration/NN and/CC
consideration/NN and/CC in/IN a/DT party/NN
either/DT one/CD in/IN them/PRP does/VBZ
majority/NN vote/NN in/IN the/DT committee/NN
official/JJ conduct/NN in/IN a/DT member/NN
of/IN front/NN in/IN an/DT adjudicatory/JJ
of/IN standards/NNS in/IN official/JJ conduct/NN
formal/JJ investigation/NN in/IN the/DT matter/NN
the/DT insistence/NN in/IN the/DT rules/NNS
the/DT honor/NN in/IN serving/VBG as/IN
ranking/JJ member/NN in/IN the/DT ethics/NNS
also/RB served/VBN in/IN the/DT committee/NN
handles/VBZ enforcement/NN in/IN the/DT rules/NNS
important/JJ because/IN in/IN the/DT partisan/JJ
the/DT complaint/NN in/IN the/DT committee/NN
official/JJ conduct/NN in/IN a/DT member/NN
of/IN front/NN in/IN an/DT adjudicatory/JJ
all/DT members/NNS in/IN the/DT leadership/NN
the/DT leadership/NN in/IN both/DT sides/NNS
basic/JJ purpose/NN in/IN the/DT process/NN
the/DT point/NN in/IN order/NN
the/DT question/NN in/IN course/NN before/IN
by/IN action/NN in/IN the/DT house/NN
the/DT call/NN in/IN the/DT chair/NN
a/DT time/NN in/IN national/JJ emergency/NN
the/DT majority/NN in/IN the/DT members/NNS
the/DT members/NNS in/IN the/DT house/NN
an/DT act/NN in/IN mass/NN terrorism/NN
the/DT context/NN in/IN an/DT overall/JJ
of/IN terms/NNS in/IN its/PRP$ constitutionality/NN
on/IN terms/NNS in/IN its/PRP$ merit/NN
concurrent/JJ resolution/NN in/IN the/DT budget/NN
current/JJ levels/NNS in/IN total/JJ budget/NN
enforce/VB section/NN in/IN the/DT budget/NN
the/DT statement/NN in/IN managers/NNS or/CC
aggregate/JJ amount/NN in/IN such/JJ appropriations/NNS
enactment/NN in/IN measures/NNS providing/VBG
the/DT period/NN in/IN fiscal/JJ years/NNS
of/IN aid/NN in/IN section/NN on/IN
this/DT grant/NN in/IN jurisdiction/NN not/RB
not/RB because/RB in/IN some/DT desire/NN
on/IN work/NN in/IN them/PRP
be/VB part/NN in/IN the/DT debate/NN
this/DT position/NN in/IN the/DT basis/NN
requirement/NN imposed/VBN in/IN transportation/NN industries/NNS
the/DT context/NN in/IN the/DT costs/NNS
the/DT aftermath/NN in/IN the/DT pan/VB
security/NN act/NN in/IN atsa/NN
an/DT act/NN in/IN unprecedented/JJ shamelessness/NN
the/DT face/NN in/IN an/DT overwhelming/JJ
instead/RB in/IN a/DT bipartisan/JJ
every/DT member/NN in/IN either/DT side/NN
either/DT side/NN in/IN the/DT aisle/NN
the/DT rules/NNS in/IN the/DT house/NN
of/IN standards/NNS in/IN official/JJ conduct/NN
the/DT committee/NN in/IN standards/NNS in/IN
in/IN standards/NNS in/IN official/JJ conduct/NN
the/DT point/NN in/IN the/DT committee/NN
of/IN standards/NNS in/IN official/JJ conduct/NN
a/DT couple/NN in/IN different/JJ scores/NNS
a/DT vote/NN in/IN the/DT previous/JJ
a/DT member/NN in/IN congress/NN to/TO
as/RB many/JJ in/IN my/PRP$ colleagues/NNS
huge/JJ bill/NN in/IN many/JJ thousands/NNS
many/JJ thousands/NNS in/IN pages/NNS containing/VBG
bills/NNS seven/CD in/IN which/WDT never/RB
never/RB appeared/VBD in/IN the/DT floor/NN
the/DT committee/NN in/IN rules/NNS came/VBD
were/VBD voting/VBG in/IN and/CC should/MD
on/IN privacy/NN in/IN the/DT american/JJ
house/NN ignoring/VBG in/IN the/DT day/NN
the/DT abuse/NN in/IN power/NN in/IN
in/IN power/NN in/IN a/DT powerful/JJ
had/VBD control/NN in/IN the/DT bill/NN
unethical/JJ process/NN in/IN members/NNS negotiating/VBG
their/PRP$ evisceration/NN in/IN the/DT ethical/JJ
the/DT members/NNS in/IN your/PRP$ party/NN
some/DT level/NN in/IN respect/NN to/TO
the/DT committee/NN in/IN standards/NNS in/IN
in/IN standards/NNS in/IN official/JJ conduct/NN
that/IN one/CD in/IN them/PRP is/VBZ
the/DT rules/NNS in/IN the/DT house/NN
sad/JJ commentary/NN in/IN the/DT ethical/JJ
ethical/JJ compass/NN in/IN this/DT body/NN
the/DT guardians/NNS in/IN democracy/NN spread/VBD
the/DT values/NNS in/IN selfgovernance/NN across/IN
of/IN standards/NNS in/IN official/JJ conduct/NN
the/DT light/NN in/IN day/NN
the/DT dead/JJ in/IN night/NN stands/NNS
ethical/JJ erosion/NN in/IN the/DT house/NN
the/DT integrity/NN in/IN this/DT institution/NN
sitting/VBG members/NNS in/IN congress/NN from/IN
any/DT committee/NN in/IN which/WDT that/WDT
the/DT members/NNS in/IN this/DT body/NN
his/PRP$ support/NN in/IN the/DT legislation/NN
of/IN support/NN in/IN hr/NN the/DT
enhancement/NN act/NN in/IN and/CC i/FW
after/IN consideration/NN in/IN the/DT amendments/NNS
the/DT prestige/NN in/IN the/DT medal/NN
little/JJ history/NN in/IN the/DT medal/NN
the/DT behest/NN in/IN the/DT continental/JJ
but/CC because/RB in/IN multiple/JJ recipients/NNS
the/DT committee/NN in/IN financial/JJ services/NNS
a/DT couple/NN in/IN times/NNS
the/DT intent/NN in/IN what/WP we/PRP
the/DT history/NN in/IN it/PRP
of/IN terms/NNS in/IN the/DT groups/NNS
that/DT criteria/NNS in/IN measurement/NN
that/DT kind/NN in/IN thing/NN but/CC
or/CC somebody/NN in/IN that/DT nature/NN
reasonable/JJ member/NN in/IN congress/NN and/CC
we/PRP sort/VBP in/IN learn/VBP techniques/NNS
i/FW sort/NN in/IN doubt/NN it/PRP
time/NN most/RBS in/IN us/PRP are/VBP
a/DT number/NN in/IN individuals/NNS who/WP
the/DT history/NN in/IN the/DT gold/NN
or/CC somebody/NN in/IN that/DT ilk/NN
had/VBD two/CD in/IN one/CD side/NN
a/DT bit/NN in/IN politics/NNS of/IN
an/DT element/NN in/IN politics/NNS that/WDT
full/JJ committee/NN in/IN financial/JJ services/NNS
for/IN debate/NN in/IN this/DT bill/NN
new/JJ committee/NN in/IN rules/NNS ranking/VBG
the/DT committee/NN in/IN rules/NNS over/IN
enhancement/NN act/NN in/IN while/IN introduced/VBN
to/TO act/VB in/IN an/DT issue/NN
the/DT cosponsorship/NN in/IN twothirds/NNS on/IN
height/NN president/NN in/IN the/DT national/JJ
symbolic/JJ worth/NN in/IN a/DT gold/NN
the/DT safety/NN in/IN allied/VBN communications/NNS
the/DT integration/NN in/IN our/PRP$ public/JJ
the/DT attacks/NNS in/IN the/DT world/NN
of/IN terms/NNS in/IN the/DT need/NN
takes/VBZ twothirds/NNS in/IN the/DT members/NNS
not/RB worthy/JJ in/IN it/PRP
becoming/VBG president/NN in/IN the/DT united/VBN
the/DT richness/NN in/IN diversity/NN and/CC
the/DT striking/JJ in/IN the/DT first/JJ
the/DT advancement/NN in/IN our/PRP$ country/NN
the/DT number/NN in/IN people/NNS of/IN
the/DT shape/NN in/IN the/DT distribution/NN
the/DT number/NN in/IN gold/NN medals/NNS
think/VB some/DT in/IN the/DT fear/NN
for/IN lack/NN in/IN a/DT better/JJR
better/JJR word/NN in/IN the/DT gold/NN
our/PRP$ side/NN in/IN the/DT aisle/NN
the/DT house/NN in/IN representatives/NNS and/CC
honor/VB groups/NNS in/IN individuals/NNS who/WP
incredible/JJ works/NNS in/IN behalf/NN in/IN
in/IN behalf/NN in/IN this/DT nation/NN
that/IN provision/NN in/IN the/DT bill/NN
share/VB some/DT in/IN those/DT concerns/NNS
the/DT case/NN in/IN brown/JJ versus/IN
the/DT board/NN in/IN ed/VBN
bipartisan/JJ consensus/NN in/IN the/DT will/NN
the/DT opinion/NN in/IN the/DT house/NN
that/IN some/DT in/IN my/PRP$ colleagues/NNS
my/PRP$ colleagues/NNS in/IN the/DT other/JJ
other/JJ side/NN in/IN the/DT aisle/NN
of/IN favor/NN in/IN
equitable/JJ distribution/NN in/IN these/DT medals/NNS
split/JJ sponsorship/NN in/IN these/DT medals/NNS
short/JJ end/NN in/IN that/DT stick/NN
have/VB any/DT in/IN our/PRP$ honorees/NNS
a/DT cap/NN in/IN it/PRP i/FW
that/IN one/CD in/IN my/PRP$ colleagues/NNS
requisite/JJ number/NN in/IN signatures/NNS for/IN
the/DT middle/NN in/IN the/DT last/JJ
requisite/JJ number/NN in/IN signatures/NNS were/VBD
on/IN terms/NNS in/IN working/VBG on/IN
to/TO act/VB in/IN for/IN a/DT
on/IN many/JJ in/IN my/PRP$ colleagues/NNS
upon/IN citizens/NNS in/IN our/PRP$ country/NN
the/DT house/NN in/IN representatives/NNS and/CC
any/DT group/NN in/IN individuals/NNS for/IN
the/DT hundreds/NNS in/IN first/JJ responders/NNS
twothirds/NNS cosponsorship/NN in/IN the/DT house/NN
gained/VBD control/NN in/IN this/DT house/NN
a/DT group/NN in/IN individuals/NNS
the/DT debate/NN in/IN this/DT bill/NN
on/IN favor/NN in/IN sending/VBG this/DT
the/DT interest/NN in/IN the/DT house/NN
the/DT existence/NN in/IN bipartisanship/NN throughout/IN
my/PRP$ colleagues/NNS in/IN both/DT sides/NNS
of/IN favor/NN in/IN my/PRP$ motion/NN
the/DT interests/NNS in/IN the/DT american/JJ
the/DT halls/NNS in/IN the/DT capitol/NN
first/JJ day/NN in/IN normal/JJ legislative/JJ
refresher/NN course/NN in/IN how/WRB a/DT
support/VB both/DT in/IN these/DT amendments/NNS
the/DT integrity/NN in/IN a/DT system/NN
king/NN and/CC in/IN course/NN legislation/NN
their/PRP$ lives/NNS in/IN our/PRP$ behalf/NN
make/VB decisions/NNS in/IN who/WP has/VBZ
the/DT committee/NN in/IN rules/NNS involvement/NN
the/DT criteria/NNS in/IN this/DT rule/NN
the/DT nature/NN in/IN the/DT underlying/VBG
despite/IN all/DT in/IN the/DT accolades/NNS
save/VB thousands/NNS in/IN lives/NNS of/IN
look/VB back/RB in/IN the/DT numbers/NNS
v/NN board/NN in/IN education/NN that/IN
the/DT lives/NNS in/IN millions/NNS on/IN
any/DT kind/NN in/IN personal/JJ act/NN
overview/NN review/NN in/IN this/DT legislation/NN
this/DT interpretation/NN in/IN one/CD hero/NN
and/CC goodness/NN in/IN america/NN puzzles/NNS
all/DT in/IN us/PRP come/VB
on/IN support/NN in/IN the/DT gentleman/NN
been/VBN reflective/JJ in/IN members/NNS having/VBG
the/DT committee/NN in/IN financial/JJ services/NNS
the/DT honor/NN in/IN a/DT congressional/JJ
the/DT preclusion/NN in/IN our/PRP$ ability/NN
e/SYM a/DT in/IN hr/NN would/MD
the/DT striking/JJ in/IN a/DT congressional/JJ
of/IN recognition/NN in/IN their/PRP$ services/NNS
enhancement/NN act/NN in/IN authored/VBN by/IN
a/DT situation/NN in/IN having/VBG fewer/JJR
first/JJ years/NNS in/IN the/DT gold/NN
egregious/JJ example/NN in/IN going/VBG beyond/IN
initial/JJ scope/NN in/IN the/DT medal/NN
the/DT responsibility/NN in/IN going/VBG out/RP
the/DT middle/NN in/IN the/DT congress/NN
the/DT end/NN in/IN the/DT session/NN
enact/VB bills/NNS in/IN gold/NN medals/NNS
on/IN twothirds/NNS in/IN the/DT members/NNS
getting/VBG twothirds/NNS in/IN the/DT people/NNS
first/JJ years/NNS in/IN the/DT existence/NN
the/DT existence/NN in/IN our/PRP$ country/NN
out/RP all/DT in/IN them/PRP to/TO
weigh/VB of/IN in/IN the/DT importance/NN
be/VB congratulated/VBN in/IN forwardlooking/VBG reforms/NNS
the/DT number/NN in/IN medals/NNS awarded/VBN
proud/JJ tradition/NN in/IN this/DT unique/JJ
grown/VBN out/RP in/IN control/NN and/CC
block/VB many/JJ in/IN their/PRP$ students/NNS
nondiscrimination/NN based/VBN in/IN age/NN gender/NN
a/DT part/NN in/IN wisconsin/NN s/VBZ
best/JJS interests/NNS in/IN our/PRP$ citizens/NNS
the/DT university/NN in/IN wisconsin/NN of/IN
on/IN violation/NN in/IN state/NN law/NN
the/DT shoulders/NNS in/IN our/PRP$ men/NNS
of/IN terrorism/NN in/IN multiple/JJ fronts/NNS
relish/VB having/VBG in/IN campus/NN
relies/VBZ heavily/RB in/IN our/PRP$ military/JJ
the/DT ranks/NNS in/IN our/PRP$ military/JJ
full/JJ support/NN in/IN this/DT resolution/NN
for/IN those/DT in/IN us/PRP who/WP
basic/JJ principles/NNS in/IN the/DT right/NN
the/DT attitude/NN in/IN many/JJ in/IN
in/IN many/JJ in/IN these/DT ivory/NN
us/PRP court/NN in/IN appeals/NNS for/IN
regarding/VBG access/NN in/IN military/JJ recruiters/NNS
to/TO institutions/NNS in/IN higher/JJR education/NN
the/DT option/NN in/IN a/DT career/NN
the/DT representatives/NNS in/IN the/DT armed/JJ
another/DT group/NN in/IN students/NNS who/WP
and/CC procedures/NNS in/IN the/DT armed/JJ
the/DT access/NN in/IN the/DT military/JJ
the/DT department/NN in/IN defense/NN per/IN
that/DT burden/NN in/IN recruiters/NNS on/IN
the/DT context/NN in/IN the/DT solomon/NN
the/DT fog/NN in/IN spin/NN and/CC
of/IN times/NNS in/IN war/NN and/CC
in/IN course/NN men/NNS
our/PRP$ leaders/NNS in/IN the/DT future/JJ
is/VBZ sort/NN in/IN breaks/NNS this/DT
and/CC talk/VB in/IN the/DT campus/NN
require/VB regardless/RB in/IN what/WP the/DT
be/VB allowed/VBN in/IN campus/NN
historically/RB stood/VBN in/IN its/PRP$ own/JJ
to/TO be/VB in/IN campuses/NNS
respected/JJ member/NN in/IN higher/JJR education/NN
the/DT interest/NN in/IN efficiency/NN whether/IN
the/DT floor/NN in/IN the/DT house/NN
the/DT supporters/NNS in/IN a/DT policy/NN
