highest/JJS body/NN of/IN elected/VBN officials/NNS 
the/DT success/NN of/IN this/DT historic/JJ 
other/JJ side/NN of/IN the/DT aisle/NN 
votes/NNS certain/JJ of/IN defeat/NN to/TO 
the/DT battle/NN of/IN ideas/NNS 
the/DT future/NN of/IN our/PRP$ nation/NN 
all/DT members/NNS of/IN the/DT minority/NN 
sheer/JJ weight/NN of/IN the/DT agenda/NN 
on/IN behalf/NN of/IN the/DT men/NNS 
with/IN all/DT of/IN the/DT gratitude/NN 
the/DT source/NN of/IN the/DT honor/NN 
the/DT source/NN of/IN the/DT honor/NN 
honor/NN each/DT of/IN us/PRP rightfully/RB 
and/CC workers/NNS of/IN the/DT th/NN 
the/DT cause/NN of/IN justice/NN and/CC 
united/VBN states/NNS of/IN america/NN 
the/DT balance/NN of/IN the/DT time/NN 
a/DT number/NN of/IN years/NNS the/DT 
the/DT rights/NNS of/IN the/DT minority/NN 
the/DT middle/NN of/IN the/DT night/NN 
one/CD portion/NN of/IN the/DT package/NN 
sure/RB some/DT of/IN my/PRP$ colleagues/NNS 
the/DT expenditures/NNS of/IN the/DT legislative/JJ 
new/JJ wave/NN of/IN turf/NN warfare/NN 
the/DT committees/NNS of/IN the/DT house/NN 
some/DT members/NNS of/IN the/DT house/NN 
created/VBN consisting/VBG of/IN democrats/NNS and/CC 
thoughtful/JJ understanding/NN of/IN how/WRB best/JJS 
the/DT input/NN of/IN any/DT democrats/NNS 
while/IN many/JJ of/IN my/PRP$ democratic/JJ 
the/DT right/NN of/IN the/DT minority/NN 
is/VBZ one/CD of/IN oversight/NN we/PRP 
legislative/JJ recommendations/NNS of/IN merit/NN the/DT 
all/DT manner/NN of/IN new/JJ authorities/NNS 
the/DT department/NN of/IN homeland/NN security/NN 
addressing/VBG aspects/NNS of/IN homeland/NN security/NN 
a/DT reorganization/NN of/IN congressional/JJ committees/NNS 
first/JJ day/NN of/IN this/DT new/JJ 
and/CC experience/NN of/IN existing/VBG committees/NNS 
on/IN questions/NNS of/IN constitutionality/NN 
wide/JJ range/NN of/IN constitutional/JJ scholars/NNS 
the/DT moment/NN of/IN greatest/JJS peril/NN 
the/DT preservation/NN of/IN government/NN let/VBD 
further/JJ examination/NN of/IN the/DT best/JJS 
a/DT continuity/NN of/IN government/NN during/IN 
the/DT members/NNS of/IN that/DT very/RB 
with/IN consideration/NN of/IN the/DT rules/NNS 
that/IN one/CD of/IN the/DT first/JJ 
first/JJ orders/NNS of/IN business/NN for/IN 
the/DT work/NN of/IN this/DT congress/NN 
work/NN product/NN of/IN many/JJ members/NNS 
initial/JJ stages/NNS of/IN compiling/VBG this/DT 
the/DT input/NN of/IN the/DT officers/NNS 
the/DT officers/NNS of/IN the/DT house/NN 
the/DT kinds/NNS of/IN changes/NNS we/PRP 
the/DT work/NN of/IN the/DT house/NN 
all/DT of/IN the/DT ideas/NNS 
considered/VBN judgment/NN of/IN our/PRP$ colleagues/NNS 
on/IN each/DT of/IN these/DT changes/NNS 
sectionbysection/NN summary/NN of/IN h/NN res/VBZ 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS for/IN 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT department/NN of/IN homeland/NN security/NN 
over/IN functions/NNS of/IN the/DT dhs/NNS 
and/CC dissemination/NN of/IN homeland/NN security/NN 
required/JJ list/NN of/IN content/JJ included/VBN 
a/DT review/NN of/IN federal/JJ programs/NNS 
against/IN duplication/NN of/IN such/JJ programs/NNS 
c/SYM membership/NN of/IN budget/NN committee/NN 
one/CD member/NN of/IN the/DT budget/NN 
one/CD member/NN of/IN the/DT minority/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
the/DT call/NN of/IN the/DT chair/NN 
the/DT call/NN of/IN the/DT chair/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
f/SYM repeal/NN of/IN corrections/NNS calendar/NN 
standing/NN rules/NNS of/IN the/DT house/NN 
for/IN continuity/NN of/IN legislative/JJ operations/NNS 
the/DT event/NN of/IN catastrophic/JJ circumstances/NNS 
clause/NN a/DT of/IN rule/NN xx/NN 
been/VBN disposed/VBN of/IN and/CC the/DT 
a/DT call/NN of/IN the/DT house/NN 
a/DT series/NN of/IN calls/NNS of/IN 
of/IN calls/NNS of/IN the/DT house/NN 
the/DT contents/NNS of/IN such/JJ report/NN 
the/DT contents/NNS of/IN such/JJ report/NN 
further/JJ call/NN of/IN the/DT house/NN 
or/CC series/NN of/IN calls/NNS are/VBP 
a/DT total/NN of/IN hours/NNS without/IN 
the/DT inability/NN of/IN the/DT house/NN 
i/FW postponement/NN of/IN certain/JJ votes/NNS 
the/DT committee/NN of/IN the/DT whole/NN 
the/DT use/NN of/IN campaign/NN funds/NNS 
limited/JJ types/NNS of/IN official/NN expenses/NNS 
j/NN use/NN of/IN frank/JJ for/IN 
to/TO section/NN of/IN title/NN united/VBD 
the/DT date/NN of/IN a/DT primary/JJ 
the/DT category/NN of/IN individuals/NNS who/WP 
a/DT relative/JJ of/IN the/DT member/NN 
a/DT provision/NN of/IN the/DT current/JJ 
b/NN d/SYM of/IN the/DT house/NN 
the/DT code/NN of/IN conduct/NN 
restore/VB presumption/NN of/IN innocence/NN 
minority/NN member/NN of/IN the/DT standards/NNS 
the/DT facts/NNS of/IN the/DT complaint/NN 
the/DT presumption/NN of/IN innocence/NN 
a/DT counsel/NN of/IN their/PRP$ choice/NN 
the/DT rules/NNS of/IN the/DT house/NN 
a/DT continuation/NN of/IN budget/NN enforcement/NN 
that/IN section/NN of/IN the/DT budget/NN 
prohibiting/VBG consideration/NN of/IN legislation/NN within/IN 
section/NN point/NN of/IN order/NN requiring/VBG 
requiring/VBG adoption/NN of/IN budget/NN resolution/NN 
before/IN consideration/NN of/IN budgetrelated/JJ legislation/NN 
minimum/JJ levels/NNS of/IN compensation/NN for/IN 
a/DT continuation/NN of/IN budget/NN deeming/NN 
nd/NN session/NN of/IN the/DT th/NN 
the/DT provisions/NNS of/IN the/DT senate/NN 
concurrent/JJ resolution/NN of/IN the/DT th/NN 
a/DT waiver/NN of/IN rule/NN x/SYM 
c/NN numbering/NN of/IN bills/NNS 
the/DT author/NN of/IN one/CD important/JJ 
as/IN part/NN of/IN their/PRP$ oversight/NN 
the/DT beginning/NN of/IN each/DT congress/NN 
large/JJ numbers/NNS of/IN members/NNS are/VBP 
a/DT number/NN of/IN safeguards/NNS to/TO 
during/IN times/NNS of/IN turmoil/NN and/CC 
a/DT lot/NN of/IN time/NN and/CC 
both/DT sides/NNS of/IN the/DT aisle/NN 
our/PRP$ traditions/NNS of/IN dignity/NN and/CC 
a/DT series/NN of/IN changes/NNS to/TO 
ranking/JJ member/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT use/NN of/IN campaign/NN funds/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT presumption/NN of/IN innocence/NN in/IN 
distinguished/JJ chairman/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
as/IN each/DT of/IN those/DT changes/NNS 
the/DT creation/NN of/IN a/DT new/JJ 
important/JJ part/NN of/IN our/PRP$ overall/JJ 
the/DT enactment/NN of/IN the/DT homeland/NN 
security/NN act/NN of/IN and/CC then/RB 
the/DT formation/NN of/IN the/DT select/JJ 
complete/JJ study/NN of/IN homeland/NN security/NN 
the/DT end/NN of/IN last/JJ year/NN 
the/DT department/NN of/IN homeland/NN security/NN 
and/CC administration/NN of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
third/JJ functions/NNS of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
and/CC dissemination/NN of/IN homeland/NN security/NN 
consolidate/VB jurisdiction/NN of/IN the/DT house/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT issue/NN of/IN referral/NN lies/VBZ 
the/DT hands/NNS of/IN the/DT speaker/NN 
that/DT power/NN of/IN the/DT speaker/NN 
on/IN all/DT of/IN these/DT issues/NNS 
thank/VB all/DT of/IN the/DT committee/NN 
the/DT passage/NN of/IN this/DT house/NN 
single/JJ one/CD of/IN us/PRP who/WP 
the/DT oath/NN of/IN office/NN today/NN 
urge/NN support/NN of/IN this/DT package/NN 
this/DT package/NN of/IN rules/NNS 
the/DT balance/NN of/IN my/PRP$ time/NN 
single/JJ member/NN of/IN this/DT institution/NN 
the/DT integrity/NN of/IN this/DT institution/NN 
for/IN all/DT of/IN us/PRP 
addresses/VBZ many/JJ of/IN the/DT concerns/NNS 
from/IN two/CD of/IN my/PRP$ committee/NN 
in/IN consideration/NN of/IN measures/NNS of/IN 
of/IN measures/NNS of/IN this/DT house/NN 
distinguished/JJ chairman/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT behavior/NN of/IN members/NNS of/IN 
of/IN members/NNS of/IN this/DT institution/NN 
xz/NN chairman/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
is/VBZ supportive/JJ of/IN this/DT package/NN 
recommendations/NNS all/DT of/IN which/WDT emerged/VBD 
former/JJ members/NNS of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
to/TO members/NNS of/IN this/DT institution/NN 
to/TO matters/NNS of/IN ethics/NNS it/PRP 
the/DT protection/NN of/IN members/NNS of/IN 
of/IN members/NNS of/IN both/DT the/DT 
the/DT balance/NN of/IN my/PRP$ time/NN 
distinguished/JJ chairman/NN of/IN the/DT committee/NN 
for/IN purposes/NNS of/IN a/DT colloquy/NN 
the/DT midst/NN of/IN a/DT discussion/NN 
a/DT violation/NN of/IN us/PRP code/NN 
the/DT solicitation/NN of/IN campaign/NN contributions/NNS 
the/DT purchase/NN of/IN a/DT cell/NN 
the/DT solicitation/NN of/IN campaign/NN contributions/NNS 
a/DT violation/NN of/IN the/DT law/NN 
a/DT violation/NN of/IN the/DT law/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT adoption/NN of/IN h/NN res/VBZ 
the/DT administration/NN of/IN the/DT oath/NN 
the/DT oath/NN of/IN office/NN to/TO 
the/DT balance/NN of/IN my/PRP$ time/NN 
is/VBZ deserving/JJ of/IN bipartisan/JJ support/NN 
is/VBZ deserving/JJ of/IN bipartisan/JJ support/NN 
both/DT sides/NNS of/IN the/DT aisle/NN 
a/DT number/NN of/IN very/RB important/JJ 
the/DT prospect/NN of/IN a/DT horrendous/JJ 
a/DT time/NN of/IN great/JJ crisis/NN 
the/DT establishment/NN of/IN a/DT new/JJ 
on/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT responsibility/NN of/IN working/VBG to/TO 
the/DT integrity/NN of/IN all/DT of/IN 
of/IN all/DT of/IN the/DT members/NNS 
the/DT members/NNS of/IN this/DT institution/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT integrity/NN of/IN this/DT institution/NN 
the/DT issue/NN of/IN bipartisanship/NN is/VBZ 
the/DT politicization/NN of/IN the/DT ethics/NNS 
the/DT support/NN of/IN democrats/NNS and/CC 
that/IN one/CD of/IN the/DT first/JJ 
first/JJ orders/NNS of/IN business/NN of/IN 
of/IN business/NN of/IN the/DT th/NN 
work/NN product/NN of/IN many/JJ members/NNS 
initial/JJ stages/NNS of/IN compiling/VBG this/DT 
the/DT input/NN of/IN the/DT officers/NNS 
the/DT officers/NNS of/IN the/DT house/NN 
the/DT kinds/NNS of/IN changes/NNS we/PRP 
the/DT work/NN of/IN the/DT house/NN 
speaker/NN all/DT of/IN the/DT ideals/NNS 
considered/VBN judgment/NN of/IN our/PRP$ colleagues/NNS 
detail/NN each/DT of/IN these/DT changes/NNS 
a/DT few/JJ of/IN these/DT changes/NNS 
the/DT author/NN of/IN one/CD important/JJ 
as/IN part/NN of/IN their/PRP$ oversight/NN 
the/DT beginning/NN of/IN each/DT congress/NN 
a/DT number/NN of/IN instances/NNS where/WRB 
the/DT designation/NN of/IN leadership/NN members/NNS 
leadership/NN members/NNS of/IN the/DT budget/NN 
the/DT taking/NN of/IN recesses/NNS in/IN 
large/JJ numbers/NNS of/IN members/NNS are/VBP 
a/DT number/NN of/IN safeguards/NNS to/TO 
during/IN times/NNS of/IN turmoil/NN and/CC 
under/IN suspension/NN of/IN the/DT rules/NNS 
our/PRP$ traditions/NNS of/IN dignity/NN and/CC 
a/DT series/NN of/IN changes/NNS to/TO 
ranking/JJ member/NN of/IN the/DT standards/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT use/NN of/IN campaign/NN funds/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT presumption/NN of/IN innocence/NN in/IN 
as/IN each/DT of/IN those/DT changes/NNS 
the/DT creation/NN of/IN a/DT new/JJ 
important/JJ part/NN of/IN our/PRP$ overall/JJ 
the/DT enactment/NN of/IN the/DT homeland/NN 
security/NN act/NN of/IN and/CC then/RB 
the/DT formation/NN of/IN the/DT select/JJ 
complete/JJ study/NN of/IN homeland/NN security/NN 
the/DT end/NN of/IN last/JJ year/NN 
the/DT safety/NN of/IN the/DT american/JJ 
the/DT recommendations/NNS of/IN the/DT commission/NN 
the/DT formation/NN of/IN a/DT permanent/JJ 
oversight/NN roles/NNS of/IN existing/VBG committees/NNS 
critical/JJ questions/NNS of/IN securing/VBG our/PRP$ 
a/DT system/NN of/IN purposeful/JJ redundancy/NN 
one/CD level/NN of/IN oversight/NN and/CC 
the/DT competition/NN of/IN ideas/NNS is/VBZ 
the/DT department/NN of/IN homeland/NN security/NN 
and/CC administration/NN of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
and/CC functions/NNS of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
and/CC dissemination/NN of/IN homeland/NN security/NN 
consolidate/VB jurisdiction/NN of/IN the/DT house/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT request/NN of/IN mr/NN thomas/NNS 
the/DT department/NN of/IN treasury/NN and/CC 
the/DT department/NN of/IN homeland/NN security/NN 
security/NN act/NN of/IN transferred/VBN the/DT 
the/DT office/NN of/IN domestic/JJ preparedness/NN 
the/DT department/NN of/IN homeland/NN security/NN 
executive/JJ branch/NN of/IN government/NN for/IN 
for/IN preparedness/NN of/IN the/DT us/PRP 
for/IN acts/NNS of/IN terrorism/NN subsequently/RB 
to/TO office/NN of/IN state/NN and/CC 
from/IN all/DT of/IN you/PRP regarding/VBG 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT jurisdiction/NN of/IN the/DT committee/NN 
and/CC management/NN of/IN government/NN operations/NNS 
surgical/JJ addresses/NNS of/IN homeland/NN security/NN 
sundry/JJ areas/NNS of/IN jurisdiction/NN occupied/VBN 
the/DT basis/NN of/IN overall/JJ homeland/NN 
by/IN all/DT of/IN the/DT critical/JJ 
the/DT protection/NN of/IN a/DT particular/JJ 
and/CC administration/NN of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT jurisdiction/NN of/IN the/DT committee/NN 
administrative/JJ aspects/NNS of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT jurisdiction/NN of/IN other/JJ committees/NNS 
security/NN community/NN of/IN the/DT united/VBN 
the/DT authority/NN of/IN any/DT other/JJ 
the/DT jurisdiction/NN of/IN that/DT committee/NN 
the/DT jurisdiction/NN of/IN the/DT committee/NN 
inspection/NN activities/NNS of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
under/IN section/NN of/IN the/DT homeland/NN 
security/NN act/NN of/IN 
the/DT department/NN of/IN agriculture/NN to/TO 
under/IN section/NN of/IN the/DT homeland/NN 
security/NN act/NN of/IN and/CC the/DT 
military/JJ defense/NN of/IN the/DT united/VBN 
to/TO section/NN of/IN the/DT homeland/NN 
security/NN act/NN of/IN 
the/DT department/NN of/IN homeland/NN security/NN 
receive/VB referrals/NNS of/IN bills/NNS addressing/VBG 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT department/NN of/IN health/NN and/CC 
shelter/NN program/NN of/IN fema/NN and/CC 
the/DT department/NN of/IN the/DT treasury/NN 
and/CC administration/NN of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
and/CC management/NN of/IN government/NN operations/NNS 
intelligencerelated/JJ activities/NNS of/IN all/DT departments/NNS 
and/CC agencies/NNS of/IN the/DT federal/JJ 
the/DT office/NN of/IN the/DT director/NN 
the/DT director/NN of/IN national/JJ intelligence/NN 
prevention/NN act/NN of/IN 
nonborder/NN enforcemetn/NN of/IN the/DT immigration/NN 
process/NN numbers/NNS of/IN aliens/NNS including/VBG 
and/CC lengths/NNS of/IN allowable/JJ stay/NN 
the/DT adjudication/NN of/IN immigration/NN petitions/NNS 
domestic/JJ adjudication/NN of/IN immigration/NN petitions/NNS 
the/DT department/NN of/IN labor/NN or/CC 
the/DT department/NN of/IN homeland/NN security/NN 
those/DT aspects/NNS of/IN immigration/NN enforcement/NN 
immediate/JJ entry/NN of/IN individuals/NNS into/IN 
those/DT aspects/NNS of/IN the/DT bureau/NN 
the/DT bureau/NN of/IN immigration/NN and/CC 
development/NN activities/NNS of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT jurisdiction/NN of/IN another/DT committee/NN 
the/DT jurisdiction/NN of/IN both/DT committees/NNS 
federal/JJ management/NN of/IN emergencies/NNS and/CC 
response/NN operations/NNS of/IN the/DT federal/JJ 
receive/VB referrals/NNS of/IN bills/NNS addressing/VBG 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT functions/NNS of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT department/NN of/IN transportation/NN having/VBG 
the/DT jurisdiction/NN of/IN the/DT committee/NN 
the/DT jurisdiction/NN of/IN the/DT committee/NN 
section/NN b/NN of/IN the/DT homeland/NN 
security/NN act/NN of/IN and/CC includes/VBZ 
and/CC ports/NNS of/IN entry/NN and/CC 
secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
homeland/NN security/NN of/IN general/JJ authority/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
security/NN act/NN of/IN 
by/IN virtue/NN of/IN the/DT authority/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
and/CC section/NN of/IN the/DT homeland/NN 
security/NN act/NN of/IN pub/NN 
the/DT transfer/NN of/IN the/DT functions/NNS 
and/CC liabilities/NNS of/IN the/DT united/VBN 
the/DT department/NN of/IN homeland/NN security/NN 
in/IN section/NN of/IN the/DT act/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
sections/NNS and/CC of/IN the/DT act/NN 
to/TO paragraph/NN of/IN this/DT delegation/NN 
this/DT delegation/NN of/IN authority/NN a/DT 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT completion/NN of/IN entry/NN or/CC 
or/CC substance/NN of/IN entry/NN summary/NN 
valuation/NN application/NN of/IN the/DT us/PRP 
the/DT establishment/NN of/IN recordkeeping/NN requirements/NNS 
the/DT secretary/NN of/IN homeland/NN security/NN 
a/DT copy/NN of/IN all/DT regulations/NNS 
ranking/JJ member/NN of/IN the/DT committee/NN 
ranking/JJ member/NN of/IN the/DT committee/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
and/CC c/NN of/IN the/DT tariff/NN 
tariff/NN act/NN of/IN as/IN amended/VBN 
the/DT secretary/NN of/IN homeland/NN security/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
and/CC c/NN of/IN the/DT tariff/NN 
tariff/NN act/NN of/IN as/IN amended/VBN 
the/DT secretary/NN of/IN homeland/NN security/NN 
s/VBZ exercise/NN of/IN such/JJ authority/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
a/DT copy/NN of/IN these/DT identifications/NNS 
the/DT secretary/NN of/IN homeland/NN security/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
prior/JJ approval/NN of/IN the/DT secretary/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
ranking/JJ member/NN of/IN the/DT committee/NN 
ranking/JJ member/NN of/IN the/DT committee/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
provides/VBZ notice/NN of/IN such/JJ c/NN 
commercial/JJ operations/NNS of/IN the/DT customs/NNS 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
meetings/NNS of/IN coac/NN shall/MD 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
this/DT delegation/NN of/IN authority/NN to/TO 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
this/DT delegation/NN of/IN authority/NN is/VBZ 
maintenance/NN of/IN delegation/NN in/IN 
the/DT secretary/NN of/IN the/DT treasury/NN 
security/NN act/NN of/IN dated/JJ February/NNP 
this/DT delegation/NN of/IN authority/NN requires/VBZ 
any/DT revocation/NN of/IN any/DT other/JJ 
or/CC directive/NN of/IN the/DT secretary/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
this/DT delegation/NN of/IN authority/NN is/VBZ 
the/DT secretary/NN of/IN the/DT treasury/NN 
the/DT secretary/NN of/IN homeland/NN security/NN 
ranking/JJ member/NN of/IN the/DT committee/NN 
ranking/JJ member/NN of/IN the/DT committee/NN 
upcoming/JJ review/NN of/IN this/DT delegation/NN 
the/DT secretary/NN of/IN the/DT treasury/NN 
this/DT delegation/NN of/IN authority/NN promulgate/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
ethics/NNS standard/JJ of/IN the/DT house/NN 
be/VB investigated/VBN of/IN party/NN leaders/NNS 
is/VBZ proud/JJ of/IN their/PRP$ political/JJ 
important/JJ part/NN of/IN our/PRP$ business/NN 
state/NN house/NN of/IN representatives/NNS after/IN 
fool/VB some/DT of/IN the/DT people/NNS 
people/NNS some/DT of/IN the/DT time/NN 
a/DT weakening/NN of/IN our/PRP$ government/NN 
in/IN pursuit/NN of/IN political/JJ parity/NN 
third/JJ day/NN of/IN suspension/NN bills/NNS 
increasing/VBG amount/NN of/IN legislation/NN is/VBZ 
a/DT suspension/NN of/IN the/DT rules/NNS 
real/JJ business/NN of/IN the/DT house/NN 
perfect/JJ example/NN of/IN this/DT is/VBZ 
careful/JJ scrutiny/NN of/IN the/DT language/NN 
in/IN out/IN of/IN the/DT last/JJ 
the/DT results/NNS of/IN this/DT practice/NN 
a/DT lack/NN of/IN followthrough/JJ to/TO 
spin/VB out/IN of/IN control/NN 
a/DT result/NN of/IN tough/JJ oversight/NN 
this/DT kind/NN of/IN lax/JJ or/CC 
the/DT business/NN of/IN the/DT house/NN 
us/PRP more/JJR of/IN the/DT same/JJ 
but/CC because/IN of/IN the/DT action/NN 
reconsidered/VBD some/DT of/IN the/DT suggestions/NNS 
think/VB some/DT of/IN the/DT recommendations/NNS 
about/IN some/DT of/IN the/DT amendments/NNS 
the/DT code/NN of/IN official/JJ conduct/NN 
each/DT of/IN us/PRP in/IN 
fact/NN all/DT of/IN us/PRP individually/RB 
highest/JJS standard/NN of/IN conduct/NN for/IN 
